text,text_preprocessed,label
"barang bagus. saran : utk pengiriman tolong kotak nya dikasih tulisan fragile. tadi punya saya di jatuhin di dalam pagar, alhamdulillah gak pecah barangnya",barang bagus saran utk kirim kotak kasih tulis fragile jatuhin pagar alhamdulillah pecah barang,positive
"Dijamin Termurah, tapi BUKA MURAHAN. Kualitas bahan mantap ??. Berfungsi dengan baik.",jamin murah buka murah kualitas bahan mantap fungsi,positive
"Pelayanan Seller dan Deliver nya sangat cepat dan memuaskan...terima kasih atkasemka,anteraja dan TokoPedia.",layan seller deliver cepat memuaskanterima kasih atkasemkaanteraja tokopedia,positive
Lama pengirimannya.,kirim,negative
"Toko tidak mengirim2kan barang smpai gagal pickup 3x entah apa yg membuat kendala toko, admin toko sangat tidak profesional, entah mmg pada gak bener saya jg tdk tahu, yang jelas semua berbelit2 dan gak jelas, pesan hari minggu dikirim hari Rabu , ini toko official store tapi sepertinya perlu dipertimbangkan lagi krna pelayanan sangat tidak baik. Sepertinya para pekerjanya yg gk bener, bungkus juga cm kardus doang tanpa dilapis apapun .",toko mengirim2kan barang smpai gagal pickup 3x kendala toko admin toko profesional mmg bener jg tdk berbelit2 pesan minggu kirim rabu toko official store timbang krna layan kerja gk bener bungkus cm kardus doang lap apa,negative
"Penjual ramah, barangnya bagus, sesuai dgn pesanan, packing rapi, padahal cmn pesan 1 ??????????....",jual ramah barang bagus sesuai pesan packing rapi cmn pesan,positive
seller tidak bertanggung jawab. ????,seller tanggung,negative
"pengiriman cepat,packaging sangat aman.langsung dikasi member VIP. thanks abbot. jika bisa harga dtoko cabang disamakan dengan pusat.",kirim cepatpackaging amanlangsung kasi member vip thanks abbot harga dtoko cabang sama pusat,positive
"barang kw.. kalau original, bagian ujung colokan lightning nya berwarna abu, kalau ini wrna putih.. di plat usb jg seperti gbr produk yg palsu.. bagian kiri adalah produk yg dibeli di toko ini, yg kanan adalah kabel original saat beli HP.",barang kw original ujung colok lightning warna abu wrna putih plat usb jg gbr produk palsu kiri produk beli toko kanan kabel original beli hp,negative
Suka sama box nya ciamik dehhhhhhhhhhhhhhhhhhhhh,suka box ciamik dehhhhhhhhhhhhhhhhhhhhh,positive
Kapok saya beli kembang api di toko ini bilang nya,kapok beli kembang api toko bilang,negative
pengiriman cepat buku dalam kondisi baik,kirim cepat buku kondisi,positive
bahan adem pengiriman lumayan cepat,bahan adem kirim lumayan cepat,positive
"penjual tidak amanah, minta masker warna abu dan hitam,di kirim abu semua",jual amanah masker warna abu hitamdi kirim abu,negative
Warna tidak sesuai yang diinfokan,warna sesuai info,negative
beli 4 pack (4kg). yg dikirim cuma 3 pack (3kg). kecewa.,beli pack 4kg kirim pack 3kg kecewa,negative
Menggunakan bahan alami. Aman buat kulit bayi. Nggak lengket. Nggak memicu alergi. Melembabkan kulit bayi. Tanpa bahan pengawet. Packaging rapi. Packaging aman ??. Respon penjualnya top. Proses pesanan cepat. Penjualnya ramah bange,bahan alami aman kulit bayi lengket picu alergi melembabkan kulit bayi bahan awet packaging rapi packaging aman respon jual top proses pesan cepat jual ramah bange,positive
beli 2 dipakai dua hari udah hangus. kapok beli disini. 2 catridge gak sampe seminggu.,beli pakai udah hangus kapok beli catridge sampe minggu,negative
"transaksi COD gampang, kirimnya cepat sampe, packingnya rapih, smoga produknya cocok nih.",transaksi cod gampang kirim cepat sampe packingnya rapih smoga produk cocok,positive
"Di gambar kelihatan besar tapi kenyataannya kecil sekali kaya mainan, sampai sekarang bingung untuk makainya buat pakai apa tanggung sekli, kecuali buat naro benang mungkin berpungsi, nyesel banget telah beli kotak ini!!!",gambar nyata kaya main bingung maka pakai tanggung sekli naro benang pungsi nyesel banget beli kotak,negative
"Charging awal dkrim tp indikator ga nyala, dgnti charging baru, tp seluruh ongkir dibebankan k konsumen...",charging dkrim tp indikator nyala dgnti charging tp ongkir beban konsumen,negative
bolong coy... packing parah bgttttt.. lakban semua jadi robek2 ketika dicabut,bolong coy packing parah bgttttt lakban robek2 cabut,negative
"pengiriman cepat, barangnya lengkap sesuai pesanan",kirim cepat barang lengkap sesuai pesan,positive
"diskon nya nipu,barang nya ternyata sesuai dengan harga",diskon nipubarang sesuai harga,negative
"kurang cocok pake samsung S21 ultra, hp nya berat, gimbalnya miring2",cocok pake samsung s21 ultra hp berat gimbal miring2,negative
"ternyata tidak bisa dipakai di redmi 3S, tetapi di laptop bisa. tidak sesuai harapan",pakai redmi 3s laptop sesuai harap,negative
"terakhir chat sekaligus memastikan bilangnya merek GM Bear yg akan dikirim, ternyata kardusnya ajah yg merek GM Bear tp isinya merek lain BUCK-I. Barang datang ga sesuai kesepakatan. Ini mah bohong namanya...",chat bilang merek gm bear kirim kardus ajah merek gm bear tp isi merek bucki barang sesuai sepakat mah bohong nama,negative
Sesuai dengan deskripsi penjua. Sudah dites fungsi dan beberapa fiturnya dan berjalan dg baik. Kualitas Suara tidak mengecewakan. Harga yg cukup menarik itupun masih diberi bonus kecil. Recomend jd Best seller in toped!,sesuai deskripsi jua tes fungsi fiturnya jalan dg kualitas suara kecewa harga tarik itu bonus recomend jd best seller in toped,positive
lumayan barang berfungsi lucuuu,lumayan barang fungsi lucuuu,positive
"barang ok,tetapi batrai bocor parah,tdk ada niat memberi batrai yg baru.stiap x maen ga ada 1/2 jam lngsng habis.di cas jg lampu slalu merah.",barang oktetapi batrai bocor parahtdk niat batrai barustiap maen 12 jam lngsng habisdi cas jg lampu slalu merah,negative
bagus bgt sumpah...harga juga murah bgt,bagus bgt sumpahharga murah bgt,positive
Pesanan sdh diterima dlm keadaan baik dan cpt sampainya. Dpt bonus stik.Terima kasih seller dan kurir,pesan sdh terima dlm cpt sampai dpt bonus stikterima kasih seller kurir,positive
NOISE BANGET SURANYAA GABISA DIPAKE,noise banget suranyaa gabisa dipake,negative
"mhon maaf cuma bntang 2 soal ny saya kecewa,, pas d buka pertama x.. ada lecet lecet nya di bagian atas tutup pen",mhon maaf bntang ny kecewa pas buka lecet lecet tutup pen,negative
paan gada ngaruhnya samsek!!! kecabut aja kaga,paan gada ngaruhnya samsek cabut kaga,negative
"barangnya udah kami terima, terimakasih gan",barang udah terima terimakasih gan,positive
"Hadeh ini lagi, lemnya aja gak rata tuh di double tapenya????",hadeh lem tuh double tapenya,negative
"Setelah pake masker nya kulit merasa alergi, ampe kemerahan lalu membengkak. Saya bingung harus gimana",pake masker kulit alergi ampe merah bengkak bingung gimana,negative
"mantabs sih, build quality nya bagus banget.. dan satisfying banget pas ambil bulu kucing dari sela sela sisir nya..",mantabs build quality bagus banget satisfying banget pas ambil bulu kucing sisir,positive
"saya kecewa banget sih,pesan maroon, hijau army sama mint.. tapi tu semua dganti sama warna lain tanpa konfirmasi., semoga bisa lebih teliti n komunikasi dg pembeli jika barang tidak tersedia..",kecewa banget sihpesan maroon hijau army mint tu dganti warna konfirmasi moga teliti komunikasi dg beli barang sedia,negative
mic ga berfungsi,mic fungsi,negative
"Overall semua oke, seller respon dan pengiriman. Tapi utk talinya kurang kuat, baru beberapa x pake sudah putus. Next agar dibagusin lg ya. Thx",overall oke seller respon kirim utk tali kuat pake putus next dibagusin lg thx,positive
jujur kecewa karena yg di kirim bukam Choco Brown tapi yg di kirim malah Sunny Gold,jujur kecewa kirim bukam choco brown kirim sunny gold,negative
"Super kecewa, botolnya pecah sampe bikin tangan luka, chat penjual katanya salah kurir, bikin komplain susah krn ga divideoin, kl liat packingnya cm pake bubble wrap tipis, wajar kl pecah krn di dlm kotak agak longgar krn cm ngandelin bubble wrap dikit aja. Kappk lah belanja disini lg. Terpaksa nyari toko lain ato merk lain utk kebutuhan vitamin",super kecewa botol pecah sampe bikin tangan luka chat jual salah kurir bikin komplain susah krn divideoin kl liat packingnya cm pake bubble wrap tipis wajar kl pecah krn dlm kotak longgar krn cm ngandelin bubble wrap dikit kappk belanja lg paksa nyari toko ato merk utk butuh vitamin,negative
"bahannya enak lembut, ada gel di dalamnya, talinya bisa diatur dan gk mengganggu pas tidur, packing rapih, pengiriman cepat, langsung proses ketika jam kerja, respon seller juga cepat dan ramah.",bahan enak lembut gel dalam tali atur gk ganggu pas tidur packing rapih kirim cepat langsung proses jam kerja respon seller cepat ramah,positive
kecewa ...minta ganti alamat mlh gk bisa,kecewa ganti alamat mlh gk,negative
Tas nya nggk bagus bahan & sablonan nya.maklum lah murahan.,tas nggk bagus bahan sablon nyamaklum murah,negative
respon cepat. barang sesuai deskripsi. busa cukup tebal. semoga awet.,respon cepat barang sesuai deskripsi busa tebal moga awet,positive
Penjual kurang teliti memberi saran kpd Pembeli. Hasil embossed nama berwarna putih kontras sekali dan jelek perpaduannya. Minta Nomor diembose pun sdh tercatat tapi Penjual juga lalai mengkomentari shg hasilnya pun jg tdk diembosed. MENGECEWAKAN. Saya ga bisa ksh Foto krn ada Nama nya tercetak.,jual teliti saran kpd beli hasil embossed nama warna putih kontras jelek padu nomor diembose sdh catat jual lalai komentar shg hasil jg tdk diembosed kecewa ksh foto krn nama cetak,negative
aku dikirimin kopi langsung masukin kulkas. besok di cobain basi ??,dikirimin kopi langsung masukin kulkas besok cobain basi,negative
bagus bajunya buat sehari hari anak,bagus baju hari anak,positive
Seller fast respon. Pengiriman super cepat,seller fast respon kirim super cepat,positive
Saat unit ada masalah seller bersedia membantu mengatasi. Terima kasih banyak.,unit seller sedia bantu atas terima kasih,positive
bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,bagus jalan silent kokoh muat laptop 16 inch,positive
harga barang bagus bnget dan sesuai harga..... warnanya aja cepet pudar... sekali cuci aja udah langsung berubah,harga barang bagus bnget sesuai harga warna cepet pudar cuci udah langsung ubah,positive
lampunya mati sialan,lampu mati sial,negative
ini si bukan mobil hotwheels. nggak sesuai sama iklan. mengecewakan,si mobil hotwheels sesuai iklan kecewa,negative
"Seperti biasa, pengiriman Dan pelayanan LAMA! Pdhl officiall store!????",kirim layan pdhl officiall store,negative
Untuk jar bahannya bagus. bahan2 yg lain lumayan. Namun untuk tutup jar pita tlg diperhatikan lubangnya terlalu besar. gampang ditarik smp lepas. tp terbalik dgn tutupnya stick yg kekecilan lobangnya. stick plastik g bisa masuk. akhirnya hrs diganti tutup stick jd tutup pita. tp y pe er ngerjainnya krn udh keiket kecil2 gt kan. maaf agak panjang reviewnya. untuk yang lain bagus.,jar bahan bagus bahan2 lumayan tutup jar pita tlg perhati lubang gampang tarik smp lepas tp balik tutup stick kecil lobangnya stick plastik masuk hrs ganti tutup stick jd tutup pita tp pe er ngerjainnya krn udh keiket kecil2 gt maaf reviewnya bagus,negative
"Packing kurang aman, handle patah,emang bahan plastiknya ringkih sih, maklum. Pengiriman lumayan cepat.",packing aman handle patahemang bahan plastik ringkih maklum kirim lumayan cepat,negative
"kameranya bagus banget, pengirimannya cepat, penjualnya juga ramah banget, suka banget belanja disini",kamera bagus banget kirim cepat jual ramah banget suka banget belanja,positive
"Tidak ada pengaman sama sekali, bubblewrap juga gaada",kam bubblewrap gaada,negative
Bagus dan rapi. Pengiriman juga cepat.,bagus rapi kirim cepat,positive
"bahan oke, joss lahh",bahan oke joss lahh,positive
pesanan sdh diterima dengan baik,pesan sdh terima,positive
"Produk sesuai deskripsi.Packing rapi dan aman dengan dus dan bubble wrap. Pengiriman cepat. Pagi pesan, sore sampai.",produk sesuai deskripsipacking rapi aman dus bubble wrap kirim cepat pagi pesan sore,positive
order yang dual glass dikirim yang mono hddhh g jelas,order dual glass kirim mono hddhh,negative
BOCORR isinya,bocorr isi,negative
"harga worth it, kualitas nya bagus, nyaman digunakan, tidak ada masalah dengan tali",harga worth it kualitas bagus nyaman tali,positive
"wanginya segeerr, nyaman buat baby saya klo lagi bapil. packaging rapih, seller ramaah. thank you, sukses terus yaa",wangi segeerr nyaman baby klo bapil packaging rapih seller ramaah thank you sukses yaa,positive
baru d pake seminggu rusak,pake minggu rusak,negative
"Pesan kurir instan, posisi rumah saya di bintaro jaksel, kurirnya malah kearah bekasi. Penjual bilang tukang gojeknya ambil jalan alternatif...??? Helllooowwww???!!! Begitu kurirnya (ojek online) sampe rumah katanya nganterin orang tuanya ke tukang urut! tolong lah lain kali penjual pastikan kalo barang langsung diantar oleh kurir yg ambil! apalagj kurir instan!!!! jangan lepas tangan! saya pesan kurir instan untuk menjaga kualitas makanan terjaga!!! ini barang sampai rumah seal sudah tidak rapat!!!",pesan kurir instan posisi rumah bintaro jaksel kurir arah bekas jual bilang tukang gojek ambil jalan alternatif helllooo kurir ojek online sampe rumah nganterin orang tua tukang urut kali jual pasti barang langsung antar kurir ambil apalagj kurir instan lepas tangan pesan kurir instan jaga kualitas makan jaga barang rumah seal rapat,negative
"komiknya ada yg udah kuning kertasnya, stok lama sepertinya",komik udah kuning kertas stok,negative
minta warna kuning dan gold malah gold dua2 nya payah seller,warna kuning gold gold dua2 payah seller,negative
Paking tidak rapih jebol,paking rapih jebol,negative
Ukuran sesuai. Modelnya keren ??. Potongannya rapi. Nyaman dipakai. Jahitannya rapi.,ukur sesuai model keren potong rapi nyaman pakai jahit rapi,positive
produk sangat baik dan pengemasan rapi,produk emas rapi,positive
Bahan bukan katun asli,bahan katun asli,negative
"gamepad mantap, tombolnya jg enak tp sayang ukurannya kekecilan. packing jg aman dan pengiriman cepad",gamepad mantap tombol jg enak tp sayang ukur kecil packing jg aman kirim cepad,positive
"bahan jepitnya bagus, awet dipake gak mudah rusak",bahan jepit bagus awet dipake mudah rusak,positive
"thx Gan,barang sampai dengan selamat",thx ganbarang selamat,positive
"Bintang satu ya, chargernya patah, gak bisa digunakan, akhirnya harus cari charger lain. charger nya ada di dalam alatnya, jadi jelas bukan kesalahan pengiriman.",bintang chargernya patah cari charger charger alat salah kirim,negative
"Sesuai,proses n pengiriman cepat,responsif,recommended,barokah,terima kasih",sesuaiproses kirim cepatresponsifrecommendedbarokahterima kasih,positive
kecewa dengan pelayanan toko ini. ada barang bermasalah disuruh tekan komplain tetapi kenyataannya ribet dibelakangnya. kapok belanja disini. barang hanya senilai 7rb tetapi minta video sampai 3x & barang tidak berfungsi masih saja menolak komplain. semoga berkah,kecewa layan toko barang masalah suruh tekan komplain nyata ribet belakang kapok belanja barang nila 7rb video 3x barang fungsi tolak komplain moga berkah,negative
"Bagus, sesuai gambar..mantapp",bagus sesuai gambarmantapp,positive
Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,barang cepat kualitas bagus kirim aman pecah manstapu,positive
kata teman yg terjun di dunia musik barangnya kurang memuaskan. mohon diperbaiki lagi produknya. thx,teman terjun dunia musik barang muas mohon baik produk thx,negative
Semuanya Manatttaapp gan Semoga sukses agan,manatttaapp gan moga sukses agan,positive
service mengecewakan... sekali kecewa pasti saya kasi bintang 1 terus,service kecewa kecewa kasi bintang,negative
Mantabh surantab.. customer service nya very very reliable.. kartu nya dahsyat signal tetep seteroooong dibawa ke pelosok korea.. makasih yah kak,mantabh surantab customer service very very reliable kartu dahsyat signal tetep seteroooong bawa pelosok korea makasih yah kak,positive
"Bagus banget sisirnya, mudah2an awet",bagus banget sisir mudah2an awet,positive
"kecewa sama seller dan toko nya.. beli produk flash sale tp malah stok kosong.. udah gitu kirim nya lama banget, seller nya jaka sembung lagi..",kecewa seller toko beli produk flash sale tp stok kosong udah gitu kirim banget seller jaka sembung,negative
"Jelas2 udah pilih varian biru, dan di catatan juga ditulis �warna biru�.. eeehh.. kok ya tanpa konfirmasi dikirim warna putih. Ya sudah lah. Males komplen.. ??",jelas2 udah pilih varian biru catat tulis warna biru eeehh konfirmasi kirim warna putih males komplen,negative
"kaki tripod rusak, tdk bs terkunci, di angkat lsg turun",kaki tripod rusak tdk bs kunci angkat lsg turun,negative
"barang kualitas jelek, kaki patah, banyak pecah sedikit ditekuk pecah dan copot.. blum sempet pake udh tak buang aja",barang kualitas jelek kaki patah pecah tekuk pecah copot blum sempet pake udh buang,negative
"Agak penyok dikit yg sebelah kiri, usb gak berfungsi jadi mesti ganti usb sendiri",penyok dikit belah kiri usb fungsi mesti ganti usb,negative
"baik,packing aman pengiriman cepat",baikpacking aman kirim cepat,positive
Kali ini dimsum nya hancur,kali dimsum hancur,negative
"Maaf baru review, respons seller sangat baik, produk harganya termasuk murah dr agen2 lain. Recommended sangat.",maaf review respons seller produk harga murah agen2 recommended,positive
expirednya bentar lagi ??,expirednya bentar,negative
sedikit seret kalo dipadukan dengan produk original. pake sedikit kekuatan bisa masuk.. overall puas sekali dengan produk. bahan dan finishing bagus. haturnuhun,seret padu produk original pake kuat masuk overall puas produk bahan finishing bagus haturnuhun,positive
barang cepat sampe. penjual fast respond. cuma dpt produk yg covernya agak lecek.,barang cepat sampe jual fast respond dpt produk covernya lecek,positive
pisaunya tidak tajam sama sekali,pisau tajam,negative
pengiriman pertama sudah expired. barang diganti baru tp expired nya terlalu mepet (jarak 3 bulan ke tanggal expired). seharusnya dicek dulu sebelum dikirim ke pembeli.,kirim expired barang ganti tp expired mepet jarak tanggal expired cek kirim beli,negative
"Pengirimannya cepat, besok langsung sampai. Nggak expect apa-apa sebenernya, tapi ternyata baguus. Bahannya lembut banget, gelap oke buat nutup mata + ternyata ada gelnya juga, kirain gaada hehe. Overall worth it siih first impression-nya baguus ????",kirim cepat besok langsung expect apaapa sebenernya baguus bahan lembut banget gelap oke nutup mata gel kirain gaada hehe overall worth it siih first impressionnya baguus,positive
spray tdk sesuai gambar..semprotannya spt mainan pistol anak2 aja,spray tdk sesuai gambarsemprotannya spt main pistol anak2,negative
"Pengiriman lama, Minta Nota Pembelian tidak di kasi",kirim nota beli kasi,negative
"woooowww kereenn langsung dipakai untuk anabul, bulunya langsung bersih dan bagus, packingnya sangat bagus dan aman, terima kasih",woooowww kereenn langsung pakai anabul bulu langsung bersih bagus packingnya bagus aman terima kasih,positive
kondisi karungnya banyak yg bolong sehingga tidak bisa d pakai,kondisi karung bolong pakai,negative
garansi resmi. kelengkapan sesuai. garansi internasional. Harganya bersaing.,garansi resmi lengkap sesuai garansi internasional harga saing,positive
bgs bgt. anak2 suka sekali. terimakasih,bgs bgt anak2 suka terimakasih,positive
Alhamdulillah bagus,alhamdulillah bagus,positive
"mantap sekali sangat recommended, respon seller bintang 5 baru pesan tadi malam hari ini langsung datang",mantap recommended respon seller bintang pesan malam langsung,positive
"packing super aman, dan rapih. per kaleng, per 1 kardus yg di lapisi bubble wrap tebal pada kaleng nya, lalu kardus dijadikan 1. awalnya sempat ragu, aman ga pesan susu pakai jasa kirim reguler, karna biasa pakai instant, dan ternyata Alhamdulillah ga penyok sama sekali pesan 2 kaleng. sukses selalu seller.",packing super aman rapih kaleng kardus lapis bubble wrap tebal kaleng kardus jadi ragu aman pesan susu pakai jasa kirim reguler karna pakai instant alhamdulillah penyok pesan kaleng sukses seller,positive
"Laptop rusak, pass di aktifkan fan error, setelah di perbaiki ternyata keyboardnya rusak, setelah ganti keyboardnya ternyata adaptornya rusak. jangan belanja disini",laptop rusak pass aktif fan error baik keyboardnya rusak ganti keyboardnya adaptor rusak belanja,negative
"Packing rapi, kualitas produk ok, pengiriman sangat cepat, respon seller ok",packing rapi kualitas produk kirim cepat respon seller,positive
tidak sesuai pesanan,sesuai pesan,negative
Berfungsi dengan baik,fungsi,positive
"Jamnya biasa aja, saya tidak tahu kenapa bisa harga awalnya sejutaan. mungkin teknik marketingnya seperti itu.",jam harga juta teknik marketingnya,negative
Pesanan jenis ikan yg dikirim bulet. Hadeuuuh.,pesan jenis ikan kirim bulet hadeuuuh,negative
gak bisa di pake kecewa jadi barang sampah deh,pake kecewa barang sampah deh,negative
"barang dateng tidak sesuai dengan pesanan, beda warna",barang dateng sesuai pesan beda warna,negative
Kualitas produk diragukan dan sudah komplain tapi jawaban kurang membantu,kualitas produk ragu komplain bantu,negative
"Ga dipacking dikirim pke boxnya gitu aja.. ?? benyek parah, isinya ky barang bekas jg.. bnyk bgt baretnya sama ada noda apaan gitu kaya gel2 jorok bgt..",dipacking kirim pke boxnya gitu benyek parah isi ky barang bekas jg bnyk bgt baret noda gitu kaya gel2 jorok bgt,negative
barang yg dikirim tidak sesuai dengan barang yg dipesan.,barang kirim sesuai barang pes,negative
terbaiklah ini alat harga 51rb bisa dipakai berkali2. baru datang langsung tes dan waow mantab kali ini alat kecil cabe rawit.. aki cba cas 1jam aja langsung bisa stater motor tua saya... saya suka alat murah tp fungsinya good dah..,baik alat harga 51rb pakai berkali2 langsung tes waow mantab kali alat cabe rawit aki cba cas 1jam langsung stater motor tua suka alat murah tp fungsi good dah,positive
"mantap gan , barang sudah sampai dengan aman , makasih gan ??",mantap gan barang aman makasih gan,positive
baru 3 hari udh ga ngegrip,udh ngegrip,negative
"cepet bgt pengiriman ny , cma shari nyampee??, masker ny enak bgt d pake , mudah�an jerawat ku g muncul lgiNyaman di kulit. Proses pesanan cepat.",cepet bgt kirim ny cma shari nyampee masker ny enak bgt pake mudah an jerawat ku muncul lginyaman kulit proses pesan cepat,positive
Mantap Tajam. Kualitas Produk Bagus. Produk Sesuai.,mantap tajam kualitas produk bagus produk sesuai,positive
kecewa dan sangat kecewa. pertama belanja sdh salah belanja ke dua berharap ada perubahan tp ttp salah.,kecewa kecewa belanja sdh salah belanja harap ubah tp ttp salah,negative
"Barang rusak setelah seminggu. Respon penjual buruk. Katanya garansi, chat saja tidak dibalas. Garansi bohong ! Pikir LG deh klo mau beli disini.",barang rusak minggu respon jual buruk garansi chat balas garansi bohong pikir lg deh klo beli,negative
"pengiriman lama, jam ok semoga awet",kirim jam moga awet,negative
"bukunya original, bagus tidak ada cacat. Sayangnya saja respon dari penjual lama sekali, bahkan tdk di respon.",buku original bagus cacat sayang respon jual tdk respon,negative
Socket ujung kendor tidak ori,socket ujung kendor ori,negative
"semuanya bagus, tripod.nya kokoh pengemasan aman, rapih pokoknya seneeeeeng bgt makasih Tokopedia ??",bagus tripod kokoh emas aman rapih pokok seneeeeeng bgt makasih tokopedia,positive
jauh dari expektasi bahannya kucel,expektasi bahan kucel,negative
Proses pesanan cepat Packaging aman ??,proses pesan cepat packaging aman,positive
"barang sesuai, thank you",barang sesuai thank you,positive
Guntingnya ga ada d paket yg d kirimkan,gunting paket kirim,negative
"Luar biasa respon dan pengirimannya.. Siang pesan, malam tiba.. Luar biasa.. ??????",respon kirim siang pesan malam,positive
Enak dipakai cocok dengan wajah sy...mantap,enak pakai cocok wajah symantap,positive
"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",puas banget seller helpfull responsif cepet banget recomended,positive
"Satu pcs dipakai 1 jam panas, satu lagi tidak bisa fast charging. Dibuang ke tong sampah langsung.",pcs pakai jam panas fast charging buang tong sampah langsung,negative
"cakep.. beneran pas buat anak aq sesuai umur, next order lagee",cakep beneran pas anak aq sesuai umur next order lagee,positive
"Terima kasih paketnya sudah sampai.. Barangnya bagus banget, sesuai dengan foto, dan muat pakai baju ini.. Senang banget ???????? Ramah orangnya juga ??",terima kasih paket barang bagus banget sesuai foto muat pakai baju senang banget ramah orang,positive
"Pengiriman cepat, packing aman, respon penjual baik harga oke lg promo. Terima kasih",kirim cepat packing aman respon jual harga oke lg promo terima kasih,positive
beda dengan iklannya,beda iklan,negative
"Mengenai barang sdh sesuai...., respon sangat lambat. Saya minta dikirim pake sameday (6 jam). Barang baru diantar dan keterima di hari ke 3 (cat : transaksi sebelum jam 11 siang). Packing  barang saat pengiriman sangat seadanya. TIdak rekomendasi deh klw buat yang barang pengen buru-buru diterima/dipakai.",barang sdh sesuai respon lambat kirim pake sameday jam barang antar terima cat transaksi jam 11 siang packing barang kirim ada rekomendasi deh klw barang ken buruburu diterimadipakai,negative
"3x pesan, sdh mints tolong dikirimkan dgn nota, dan di iyakan penjual, namun 3x pesan juga Nota tidak di berikan",3x pesan sdh mints kirim nota iya jual 3x pesan nota,negative
"barang original,aseli dan aman",barang originalaseli aman,positive
IMEI terdaftar di Kemenperin Barangnya original ?? Penjualnya ramahbanget Barangnya mulus Proses pesanan cepat Berfungsi dengan baik Packaging rapi Ada garansi iBox,imei daftar kemenperin barang original jual ramahbanget barang mulus proses pesan cepat fungsi packaging rapi garansi ibox,positive
jelek jgn beli disini...kecewa....harga murah emang murahan bahannya...nyesal ********* penjualnya,jelek jgn beli disinikecewaharga murah emang murah bahannyanyesal jual,negative
Bahannya adem. Tebalnya pas!. Jahitan rapi. Sudah lngganan beli d sini dan selalu repeat order.....recomended seeller.....,bahan adem tebal pas jahit rapi lngganan beli repeat orderrecomended seeller,positive
sudah sampai dan lengkap y gan. trins,lengkap gan trins,positive
"dichat katanya warna biru ready,wktu order jg sdh dikasih keterangan warana biru.tp knp yg dikirim malah warna hitam?? tapi ya sudahlah sy terima saja",dichat warna biru readywktu order jg sdh kasih terang warana birutp knp kirim warna hitam sy terima,negative
"Puas banget, murah tapi ga murahan.. Gradasi warnanya elegan.. Melebihi ekspektasi saya..",puas banget murah murah gradasi warna elegan lebih ekspektasi,positive
sangat amazing cool A F barang cepat sampee luar biasa,amazing cool barang cepat sampee,positive
BARANG RUSAK DIKIRIM!!!!!!,barang rusak kirim,negative
"Yeay paketan sudah sampe lama, tapi baru sempet review, semoga dipakenya nyaman dan enak, karena belum sempet dibuka",yeay paket sampe sempet review moga dipakenya nyaman enak sempet buka,positive
sumbu lilin kecil. nyala susah dan api kecil. jelek.,sumbu lilin nyala susah api jelek,negative
"kartu tidak terdeteksi jadi jam gk cocok, sudah coba2 cari di yutube tutorial tetap gk bisa.... akhirnya nyesel deh beli :(",kartu deteksi jam gk cocok coba2 cari yutube tutorial gk nyesel deh beli,negative
produk ok sesuai gambar,produk sesuai gambar,positive
"Pelayanan buruk, pengiriman lama dan respon yang lama. Jangan beli barang disini kalo ga mau kecewa. Cukup sekali ini aja",layan buruk kirim respon beli barang kecewa,negative
"Terima Kasih Banyak Telah Melayani dengan Baik. Semua Products Bagus & Packaging nya aman. Products Sesuai foto, Harga bersaing dengan bagus. Pengiriman Cepat &Tepat. Very Recommended Shop &Seller. Next pasti akan sering blanja Lagi di sini deh. Semoga semakin maju & sukses ya.",terima kasih layan products bagus packaging aman products sesuai foto harga saing bagus kirim cepat very recommended shop seller next blanja deh moga maju sukses,positive
Kencang dan nyaman. Aman untuk aktivitas. Dijamin Termurah.,kencang nyaman aman aktivitas jamin murah,positive
Kualitas produk baik. Pengiriman hanya dengan box original dari pan-nya.,kualitas produk kirim box original pan,positive
"sy pernah usaha jd sy tdk mau menjelekan usaha org, sya toleransi klo pertama beli colokan rusak sy anggap kurir, tpi transaksi ke-2 ini lampu 2dari 3 hanya nyala setengah, bagaimana admin jualan tidak cek dulu sebelum pac d kirim. jujur saya kecewa, saya beli barang mungkin murah tapi bukan yg rusak donk.. cukup terakhir kali belanja di toko ini ????",sy usaha jd sy tdk jelek usaha org sya toleransi klo beli colok rusak sy anggap kurir tpi transaksi ke2 lampu 2dari nyala admin jual cek pac kirim jujur kecewa beli barang murah rusak donk kali belanja toko,negative
"Proses cepat, pengiriman juga cepat, dapet promo juga, Thanks Seller",proses cepat kirim cepat dapet promo thanks seller,positive
"persediaan stok buat kakak sekolah, selalu joyko pilihannya, barang original. Terimakasih buat pelayanan yang diberikan terbaik deh:)",sedia stok kakak sekolah joyko pilih barang original terimakasih layan baik deh,positive
ga ada gunanya atc ini tetap ga dikasi bubble..bikin rugi aja..,guna atc kasi bubblebikin rugi,negative
Barang sesuai & cepat sampai,barang sesuai cepat,positive
Ad bbrp yang tidak berfungsi,ad bbrp fungsi,negative
sesuai dengan pesann dan barang cepet sampai sesuai pilihan pengiriman,sesuai pesann barang cepet sesuai pilih kirim,positive
"segel beda, seharusnya segel sein seperti yg kecil. seller kurang paham instruksi, seperti barang repack",segel beda segel sein seller paham instruksi barang repack,negative
